title,provider,type,domains,level,issue_date,expiry_date,credential_id,credential_url,learning_path,description,tags
Microsoft 365 Certified: Fundamentals (MS-900),Microsoft,Certification,Cloud; Endpoint / M365,Beginner,2026-01-02,,95B255B13E00BCE7,https://learn.microsoft.com/en-us/users/harmvanholland-8024/credentials/95b255b13e00bce7,Modern Workplace,"Fundamentele kennis van Microsoft 365, inclusief cloudconcepten, apps en services, security, compliance, privacy, trust, pricing, licensing en support.","Microsoft 365; Fundamentals; Collaboration; Endpoint Management; Support"
Customer Service: Managing Customer Expectations,LinkedIn,Course,Customer Service; Communication,Beginner,2026-04-01,,2bd94467c064eae7864d86bcdbbdc93456249e318d9fb62d1db1aa59b316f69e,https://www.linkedin.com/learning/certificates/2bd94467c064eae7864d86bcdbbdc93456249e318d9fb62d1db1aa59b316f69e,Customer Service,"Richt zich op het managen van klantverwachtingen via duidelijke communicatie en servicegerichte afstemming.","Customer Service; Communication; Expectations Management; Service Delivery"
Boot.dev's Learn to Code in Python Course,Boot.dev,Course,Development; Automation,Beginner,2026-04-01,,fb22a163-4766-437d-9bd1-f6111cea5c28,https://www.boot.dev/certificates/fb22a163-4766-437d-9bd1-f6111cea5c28,Developer Growth,"Praktische basis in Python en programmeerconcepten via het Boot.dev leertraject.","Boot.dev; Python; Development; Automation"
